,type,itemLabel,typeLabel,item,url
0,Q515,New York City,city,Q60,https://europepmc.org/article/MED/29206104
1,Q208511,New York City,global city,Q60,https://europepmc.org/article/MED/29206104
2,Q1093829,New York City,city of the United States,Q60,https://europepmc.org/article/MED/29206104
3,Q1549591,New York City,big city,Q60,https://europepmc.org/article/MED/29206104
4,Q1637706,New York City,city with millions of inhabitants,Q60,https://europepmc.org/article/MED/29206104
5,Q2264924,New York City,port settlement,Q60,https://europepmc.org/article/MED/29206104
6,Q15063611,New York City,city in the state of New York,Q60,https://europepmc.org/article/MED/29206104
7,Q51929311,New York City,largest city,Q60,https://europepmc.org/article/MED/29206104
8,Q11606,2,magic number,Q200,https://europepmc.org/article/MED/29206104
9,Q21199,2,natural number,Q200,https://europepmc.org/article/MED/29206104
10,Q47577,2,Fibonacci number,Q200,https://europepmc.org/article/MED/29206104
11,Q49008,2,prime number,Q200,https://europepmc.org/article/MED/29206104
12,Q599093,2,Perrin number,Q200,https://europepmc.org/article/MED/29206104
13,Q624025,2,Sophie Germain prime,Q200,https://europepmc.org/article/MED/29206104
14,Q816063,2,Bell number,Q200,https://europepmc.org/article/MED/29206104
15,Q898675,2,Eisenstein prime,Q200,https://europepmc.org/article/MED/29206104
16,Q973861,2,factorial prime,Q200,https://europepmc.org/article/MED/29206104
17,Q1103699,2,Fibonacci prime,Q200,https://europepmc.org/article/MED/29206104
18,Q1136880,2,power of two,Q200,https://europepmc.org/article/MED/29206104
19,Q1462591,2,taxicab number,Q200,https://europepmc.org/article/MED/29206104
20,Q1486643,2,pronic number,Q200,https://europepmc.org/article/MED/29206104
21,Q2915234,2,Motzkin number,Q200,https://europepmc.org/article/MED/29206104
22,Q12786684,2,Cantor number,Q200,https://europepmc.org/article/MED/29206104
23,Q13366104,2,even number,Q200,https://europepmc.org/article/MED/29206104
24,Q11862829,history,academic discipline,Q309,https://europepmc.org/article/MED/29206104
25,Q26907166,future,temporal entity,Q344,https://europepmc.org/article/MED/29206104
26,Q28598684,anatomy,branch of biology,Q514,https://europepmc.org/article/MED/29206104
27,Q1790144,year,unit of time,Q577,https://europepmc.org/article/MED/29206104
28,Q21684377,year,unit without standard conversion to SI,Q577,https://europepmc.org/article/MED/29206104
29,Q82047057,year,UCUM derived unit,Q577,https://europepmc.org/article/MED/29206104
30,Q16521,animal,taxon,Q729,https://europepmc.org/article/MED/29206104
31,Q28640,scientist,profession,Q901,https://europepmc.org/article/MED/29206104
32,Q4164871,scientist,position,Q901,https://europepmc.org/article/MED/29206104
33,Q5,Jorge Luis Borges,human,Q909,https://europepmc.org/article/MED/29206104
34,Q188193,immune system,organ system,Q1059,https://europepmc.org/article/MED/29206104
35,,evolution,,Q1063,https://europepmc.org/article/MED/29206104
36,Q103812529,heart,organ type,Q1072,https://europepmc.org/article/MED/29206104
37,Q515,Mumbai,city,Q1156,https://europepmc.org/article/MED/29206104
38,Q174844,Mumbai,megacity,Q1156,https://europepmc.org/article/MED/29206104
39,Q1549591,Mumbai,big city,Q1156,https://europepmc.org/article/MED/29206104
40,Q1637706,Mumbai,city with millions of inhabitants,Q1156,https://europepmc.org/article/MED/29206104
41,Q1907114,Mumbai,metropolitan area,Q1156,https://europepmc.org/article/MED/29206104
42,Q11271835,Mumbai,state capital,Q1156,https://europepmc.org/article/MED/29206104
43,Q2465832,human anatomy,branch of science,Q3999,https://europepmc.org/article/MED/29206104
44,Q11862829,human anatomy,academic discipline,Q3999,https://europepmc.org/article/MED/29206104
45,Q104098715,country,territorial entity type,Q6256,https://europepmc.org/article/MED/29206104
46,Q930752,pathology,medical specialty,Q7208,https://europepmc.org/article/MED/29206104
47,Q11862829,pathology,academic discipline,Q7208,https://europepmc.org/article/MED/29206104
48,,transport,,Q7590,https://europepmc.org/article/MED/29206104
49,Q103914748,cell,anatomical structure class type,Q7868,https://europepmc.org/article/MED/29206104
50,,algorithm,,Q8366,https://europepmc.org/article/MED/29206104
51,,drug,,Q8386,https://europepmc.org/article/MED/29206104
52,,mountain,,Q8502,https://europepmc.org/article/MED/29206104
53,Q33104279,knowledge,philosophical concept,Q9081,https://europepmc.org/article/MED/29206104
54,Q54989186,knowledge,mental state,Q9081,https://europepmc.org/article/MED/29206104
55,Q1367,nervous system,monkey,Q9404,https://europepmc.org/article/MED/29206104
56,Q11862829,technology,academic discipline,Q11016,https://europepmc.org/article/MED/29206104
57,,culture,,Q11042,https://europepmc.org/article/MED/29206104
58,Q103812529,small intestine,organ type,Q11090,https://europepmc.org/article/MED/29206104
59,,coordinate system,,Q11210,https://europepmc.org/article/MED/29206104
60,,molecule,,Q11369,https://europepmc.org/article/MED/29206104
61,Q63922515,restaurant,hyperlocal manufacturing,Q11707,https://europepmc.org/article/MED/29206104
62,,disease,,Q12136,https://europepmc.org/article/MED/29206104
63,Q104025222,human body,taxon body type,Q23852,https://europepmc.org/article/MED/29206104
64,Q39911,1980s,decade,Q34644,https://europepmc.org/article/MED/29206104
65,Q39911,1970s,decade,Q35014,https://europepmc.org/article/MED/29206104
66,Q39911,1930s,decade,Q35702,https://europepmc.org/article/MED/29206104
67,Q21199,"1,000,000",natural number,Q38526,https://europepmc.org/article/MED/29206104
68,Q50705,"1,000,000",square number,Q38526,https://europepmc.org/article/MED/29206104
69,Q50707,"1,000,000",composite number,Q38526,https://europepmc.org/article/MED/29206104
70,Q184611,"1,000,000",power of 10,Q38526,https://europepmc.org/article/MED/29206104
71,Q861555,"1,000,000",cube,Q38526,https://europepmc.org/article/MED/29206104
72,Q13366104,"1,000,000",even number,Q38526,https://europepmc.org/article/MED/29206104
73,Q37947496,"1,000,000",sixth power,Q38526,https://europepmc.org/article/MED/29206104
74,Q41068772,"1,000,000",power of 1000,Q38526,https://europepmc.org/article/MED/29206104
75,Q5058355,nucleus,cellular component,Q40260,https://europepmc.org/article/MED/29206104
76,Q103843025,epithelium,tissue type,Q41301,https://europepmc.org/article/MED/29206104
77,Q483394,research,genre,Q42240,https://europepmc.org/article/MED/29206104
78,,data,,Q42848,https://europepmc.org/article/MED/29206104
79,,understanding,,Q46744,https://europepmc.org/article/MED/29206104
80,Q56019,schoolchild,military rank,Q48942,https://europepmc.org/article/MED/29206104
81,Q12737077,schoolchild,occupation,Q48942,https://europepmc.org/article/MED/29206104
82,Q5,Robert Remak,human,Q62088,https://europepmc.org/article/MED/29206104
83,Q5,Rudolf Virchow,human,Q76432,https://europepmc.org/article/MED/29206104
84,Q5,Theodor Schwann,human,Q76745,https://europepmc.org/article/MED/29206104
85,Q78155096,antibody,family of protein complexes,Q79460,https://europepmc.org/article/MED/29206104
86,Q16521,Caenorhabditis elegans,taxon,Q91703,https://europepmc.org/article/MED/29206104
87,Q213907,Caenorhabditis elegans,model organism,Q91703,https://europepmc.org/article/MED/29206104
88,,phenotype,,Q104053,https://europepmc.org/article/MED/29206104
89,,heavy metal,,Q105789,https://europepmc.org/article/MED/29206104
90,,locus,,Q106227,https://europepmc.org/article/MED/29206104
91,Q47154513,nucleic acid,structural class of chemical compounds,Q123619,https://europepmc.org/article/MED/29206104
92,,idea,,Q131841,https://europepmc.org/article/MED/29206104
93,,thought experiment,,Q147027,https://europepmc.org/article/MED/29206104
94,Q5,Santiago Ramón y Cajal,human,Q150526,https://europepmc.org/article/MED/29206104
95,Q23958852,concept,variable-order class,Q151885,https://europepmc.org/article/MED/29206104
96,Q223393,atlas,literary genre,Q162827,https://europepmc.org/article/MED/29206104
97,,pathogen,,Q170065,https://europepmc.org/article/MED/29206104
98,Q3239681,Cell theory,scientific theory,Q177935,https://europepmc.org/article/MED/29206104
99,Q9418,treatment,psychology,Q179661,https://europepmc.org/article/MED/29206104
100,Q11190,treatment,medicine,Q179661,https://europepmc.org/article/MED/29206104
101,Q55215251,biopsy,medical test type,Q179991,https://europepmc.org/article/MED/29206104
102,Q28598684,morphology,branch of biology,Q183252,https://europepmc.org/article/MED/29206104
103,Q35127,web portal,website,Q186165,https://europepmc.org/article/MED/29206104
104,,colorectal cancer,,Q188874,https://europepmc.org/article/MED/29206104
105,Q2996394,cell division,biological process,Q188909,https://europepmc.org/article/MED/29206104
106,Q189118,B-cell,cell type,Q188930,https://europepmc.org/article/MED/29206104
107,,cell culture,,Q189082,https://europepmc.org/article/MED/29206104
108,Q2996394,cell population proliferation,biological process,Q189101,https://europepmc.org/article/MED/29206104
109,Q96253971,data type,type of property,Q190087,https://europepmc.org/article/MED/29206104
110,Q7315176,Human Genome Project,research program,Q192446,https://europepmc.org/article/MED/29206104
111,Q3062294,ad hoc,Latin phrase,Q192683,https://europepmc.org/article/MED/29206104
112,,consensus,,Q202722,https://europepmc.org/article/MED/29206104
113,,signal processing,,Q208163,https://europepmc.org/article/MED/29206104
114,Q2996394,circadian rhythm,biological process,Q208353,https://europepmc.org/article/MED/29206104
115,,role,,Q214339,https://europepmc.org/article/MED/29206104
116,,usability,,Q216378,https://europepmc.org/article/MED/29206104
117,,analysis,,Q217602,https://europepmc.org/article/MED/29206104
118,,promoter,,Q224093,https://europepmc.org/article/MED/29206104
119,Q2996394,RNA splicing,biological process,Q237218,https://europepmc.org/article/MED/29206104
120,,transcriptome,,Q252857,https://europepmc.org/article/MED/29206104
121,,quantity,,Q309314,https://europepmc.org/article/MED/29206104
122,Q483394,technical standard,genre,Q317623,https://europepmc.org/article/MED/29206104
123,,genetic variation,,Q349856,https://europepmc.org/article/MED/29206104
124,,intellect,,Q353284,https://europepmc.org/article/MED/29206104
125,Q189118,adipocyte,cell type,Q357519,https://europepmc.org/article/MED/29206104
